index,M1100 Cement Industry,M1200 Food Industry,M1300 Plastics Industry,M2500 Construction Materials and Construction,M2200 Automobile Industry,M9900 Others,M1400 Textile and Fiber,M3700 Sports and Leisure,M2328 Electronic Components,M1500 Electrical Machinery,M1600 Electrical Equipment and Cables,M1722 Biotechnology and Medical Care,M1721 Chemical Industry,M1800 Glass and Ceramics,M1900 Paper Industry,M2000 Steel Industry,M3800 Home and Lifestyle,M2100 Rubber Industry,M2600 Shipping Industry,M2325 Computers and Peripherals,M2324 Semiconductors,M2331 Other Electronics,M2327 Telecommunications and Networking,M2326 Optoelectronics,M2329 Electronic Distribution,M2330 Information Services,M2900 Trade and Retail,"M9700 Oil, Electricity, and Gas",M2700 Tourism and Hospitality,M3600 Digital and Cloud Services,M3500 Green Energy and Environmental Protection
2024-06-19,1771129.240353131,1792193.3714705305,1601237.1486921224,5106824.048885697,3482129.740581152,1951389.746760726,1246113.1235899457,1926824.641072877,2710642.0692211683,2972857.209967109,3982993.5473367,2151423.0543793146,2208646.8023024863,1899785.155677971,2590829.0602339627,2649634.1369307893,3036648.951265154,1589013.345198208,5225443.507691938,3666187.2525352687,5144479.257075554,3297811.534889566,2857669.378449818,6805968.072683948,2717754.5562338824,3615987.7900568573,1033331.9935929463,1469907.7326510774,2149982.996133582,2201696.6370414943,1987607.3723399981
2024-06-20,1789634.4000183276,1799012.8702586934,1618847.4301539003,5108864.001262482,3493051.3578004194,1948986.1602704315,1245777.3584657065,1951402.438190487,2725377.906294611,3061587.9350799285,3988848.254819454,2158311.6635727813,2191131.557145227,1899785.155677971,2603959.299565399,2677759.122071243,3055521.950757521,1600495.0479128188,5264319.70148046,3711359.1663807486,5269145.502316576,3308628.259799565,2889648.93362382,6843160.70746294,2723231.5302101295,3655506.210819026,1033101.7110901289,1482162.60969028,2129407.7442096374,2208779.530842435,2029457.648761666
2024-06-21,1804756.1656177975,1801544.4139903106,1623775.3165193624,5036135.958424014,3498600.775143046,1946488.0731875738,1250914.695913348,1947748.6157021716,2733535.1801657975,3029264.4833984477,3975907.357762241,2158910.305324255,2212365.8337922855,1899785.155677971,2603419.3127179584,2681996.7624438535,3066677.452934443,1598267.572140416,5277559.537043219,3690825.494394523,5236674.264432348,3302268.009407712,2954434.5633675563,6867914.625991419,2712811.59393653,3677261.6226927084,1027639.9202657089,1479997.0296176623,2131568.180995897,2197836.700721285,2061707.055397897
2024-06-24,1801866.6149370517,1809555.077719938,1613523.8409298493,5057868.710199411,3454435.85322057,1921179.3079205297,1249903.441054761,1935524.5234885016,2683518.035628567,2991961.7528465316,3933554.8977021053,2162142.1492088023,2183974.1718947683,1899785.155677971,2575685.9760982627,2650781.737233534,3077085.0594179705,1595554.498142961,5242024.936836711,3661546.9201849964,5133285.136677959,3263215.0793195073,2942187.6742286235,6728415.79832424,2674382.3620219803,3644024.931078075,1026777.3663156437,1477337.1858975021,2124922.1826827126,2200115.895908285,2079206.0185080294
2024-06-25,1799637.624691639,1813308.8079014963,1593246.2410679522,5027790.06039788,3459355.710236828,1914935.6975361833,1251457.9794342367,1956326.1101356582,2671126.7113884497,3007689.34846465,3984602.7626160597,2163044.016717693,2193766.679716651,1899785.155677971,2579108.976153759,2648066.5999933565,3091384.2970447703,1612034.9201388585,5294224.397140841,3653536.3161769724,5106687.497641227,3290551.4691862273,2921573.151173422,6753645.867100894,2681571.5543469572,3742969.5728604724,1027097.6191531842,1479262.2894597948,2121333.3023507227,2184509.5358887822,2104564.4724317836
2024-06-26,1796438.120628947,1813142.9120096369,1606048.5123328643,5001183.085648005,3457047.2428555135,1911689.6878755242,1249413.0847735254,1932457.8821816754,2680820.295953608,3047181.0736898705,3972930.7520542666,2196325.8281488493,2232591.299150368,1899785.155677971,2579086.488584343,2634638.0068761497,3109595.1809052527,1610034.479740259,5252762.50993723,3692164.238554114,5095844.2890766505,3316603.922462146,2956458.4374415344,6835117.758844967,2718794.5329353274,3761108.1421464826,1042045.6491638992,1471303.2936875857,2116257.0426768567,2204958.95605691,2161591.263482933
2024-06-27,1799974.0712738489,1812308.0437351621,1605500.2491325333,4970213.601871276,3424644.170902326,1895102.593389691,1233407.2457784382,1913668.0856165758,2638126.431655835,3001967.8318593632,3949909.99778243,2178503.030158152,2217678.305424993,1899785.155677971,2563772.404592925,2631874.206843813,3085759.2327173925,1599237.984954633,5232268.440902973,3643983.6413780716,5027039.250398843,3304093.531055676,2967870.4416551567,6857210.037096318,2737553.4113558764,3714295.8981641307,1034414.7659880103,1458484.55788232,2103824.1088962634,2207703.399185702,2148026.0408945237
2024-06-28,1803748.4025199364,1822195.816822765,1613278.6823966086,4956869.282402647,3441683.644497536,1899176.006839584,1248961.6180519613,1899853.6539469226,2662825.0447671246,3071639.2995495647,3949589.823152159,2190292.707154962,2214319.7858284973,1899785.155677971,2567691.177283836,2625760.4363518176,3115705.4623263194,1601506.9998950488,5209129.7953480575,3711840.3333078525,5066809.385697301,3330009.2823987384,2985303.000923793,6950246.051250554,2768490.71079285,3742810.3851466794,1032749.0125898737,1462194.4347728868,2101193.796653319,2209290.6356586954,2161135.2679230478
2024-07-01,1810335.4868003107,1826098.6884914173,1603173.6199197727,5070347.906528633,3429779.350579235,1906860.822379774,1249980.1446012405,1885444.8137485255,2649645.9069538782,3126309.2681252067,3934127.713006909,2207579.2397592287,2234860.6760178725,1899785.155677971,2561363.469254611,2623568.5905092484,3115965.3434206434,1592768.844132478,5193550.700248151,3731900.8494704333,5016353.546762707,3365901.0835841494,2999893.717501531,6914703.656818069,2784122.926521196,3729237.6951467358,1033686.2301022693,1455274.8005990086,2098348.9518838827,2202625.2382268636,2213188.313254217
2024-07-02,1807735.7821051294,1814690.864687004,1590037.4820917058,5045388.855729967,3415952.941500738,1903431.3838075176,1240762.5833493597,1852978.8192487974,2662554.8388957987,3167300.522017033,3896924.722535486,2196725.295501744,2223422.767734363,1899785.155677971,2571182.128109842,2616343.923506287,3088313.6377663673,1583663.1396590825,5247098.778711215,3699217.0515573192,4973192.916158655,3355106.7937659333,3032488.5857525067,6929900.32163023,2790240.224397219,3789099.9224714376,1034116.8986939746,1444359.1245936893,2090663.3782603259,2194422.109458747,2226879.2389219855
